Fragen;Umformuliert;Antworten;Anzahl_Antworten;Quelle;Kontext
Bitte erläutern Sie die Begriffe Integration, Interoperabilität, Integrität.;Please explain the terms integration, interoperability, integrity.;"Integration means that the application systems are put together in such a way that the resulting information system—as opposed to its parts—displays a new quality.
Interoperability in general is the ability of two application systems to exchange information with each other and to use the information that has been exchanged.
Data integrity means that data are consistent, that object identity is maintained, and that relationships between entities are correct (referential integrity)";3;A_2021;
Welche Arten von Integrität haben wir diskutiert?;What types of integrity exist in the context of health information systems?;Object Identity, Referential Integrity, Consistency;3;A_2021;
Welche Typen der Integration haben wir diskutiert?;What types of integration exist in the context of health information systems?;Data-Integration, Semantic Integration, User-Interface Integration, Context Integration, Functional Integration, Process Integration;6;A_2021;
Nennen Sie zwei Kommunikationsstandards für KIS?;Name two communication standards for HIS?;HL7, DICOM;2;A_2021;
"Wie hängen 3LGM², IHE; HL7, DICOM, Profil, Ereignis zusammen";How are 3LGM^2, IHE, HL7, DICOM, Profile, Event related?;;;A_2021;
Wie hängen IHE – Objektidentität – tHIS zusammen?;How are IHE - object identity - tHIS related?;;;A_2021;
Welche Bedeutung hat die Softwareentwicklung in einem Krankenhaus?;What is the importance of software development in a hospital?;;;A_2021;
Was ist Transaktionsmanagement? Wie wird das in KIS organisiert?;What is transaction management? How is it organised in HIS?;;;A_2021;
Nennen Sie drei Anwendungssysteme und die jeweils unterstützten Aufgaben!;Name three application systems and the tasks each supports!;;3;A_2021;
Wie würden sie die PWE eines KIS gestalten?;How would they design the physical tool layer of a HIS?;;;A_2021;
Wie sorgen Sie für Ausfallsicherheit in einem KIS?;How do you ensure fail-safety in a HIS?;;;A_2021;
"Wie kann man Krankenhausinformationssysteme vergleichen? ";"How can hospital information systems be compared? ";(Referenzmodelle, Taxonomy);;A_2021;
Leistungsanforderung: Welche grundsätzlichen Arten der Leistungsanforderung müssen unterschieden werden (mit Terminvereinbarung, mit Probe)? Wo liegen bei der Unterstützung jeweils die Herausforderungen?;Which basic types of service request must be distinguished (with appointment, with rehearsal)? Where do the challenges lie in the support in each case?;;;A_2021;
Wie funktioniert die Versorgung einer Station mit Medikamenten und Verbrauchsmaterialien? Was ist ein Modulsystem?;How does the supply of a ward with medicines and consumables work? What is a modular system?;;;A_2021;
